Team/Country,Name,Discipline,Event,Total Gold,Total Silver,Total Bronze,Total Medals
Belgium,Belgium,3x3 Basketball,Men,3,1,3,7
People's Republic of China,China,3x3 Basketball,Men,38,32,18,88
People's Republic of China,China,3x3 Basketball,Women,38,32,18,88
France,France,3x3 Basketball,Women,10,12,11,33
Italy,Italy,3x3 Basketball,Women,10,10,20,40
Japan,Japan,3x3 Basketball,Men,27,14,17,58
Japan,Japan,3x3 Basketball,Women,27,14,17,58
Latvia,Latvia,3x3 Basketball,Men,1,0,1,2
Mongolia,Mongolia,3x3 Basketball,Women,0,1,3,4
Netherlands,Netherlands,3x3 Basketball,Men,10,12,14,36
Poland,Poland,3x3 Basketball,Men,4,5,5,14
ROC,ROC,3x3 Basketball,Men,20,28,23,71
ROC,ROC,3x3 Basketball,Women,20,28,23,71
Romania,Romania,3x3 Basketball,Women,1,3,0,4
Serbia,Serbia,3x3 Basketball,Men,3,1,5,9
United States of America,United States,3x3 Basketball,Women,39,41,33,113
Australia,Australia,Archery,Men's Team,17,7,22,46
Australia,Australia,Archery,Mixed Team,17,7,22,46
Belarus,Belarus,Archery,Women's Team,1,3,3,7
Brazil,Brazil,Archery,Mixed Team,7,6,8,21
Canada,Canada,Archery,Mixed Team,7,6,11,24
People's Republic of China,China,Archery,Men's Team,38,32,18,88
People's Republic of China,China,Archery,Mixed Team,38,32,18,88
People's Republic of China,China,Archery,Women's Team,38,32,18,88
Chinese Taipei,Chinese Taipei,Archery,Men's Team,2,4,6,12
Chinese Taipei,Chinese Taipei,Archery,Mixed Team,2,4,6,12
Chinese Taipei,Chinese Taipei,Archery,Women's Team,2,4,6,12
Colombia,Colombia,Archery,Mixed Team,0,4,1,5
Egypt,Egypt,Archery,Mixed Team,1,1,4,6
France,France,Archery,Men's Team,10,12,11,33
France,France,Archery,Mixed Team,10,12,11,33
Germany,Germany,Archery,Mixed Team,10,11,16,37
Germany,Germany,Archery,Women's Team,10,11,16,37
Great Britain,Great Britain,Archery,Men's Team,22,21,22,65
Great Britain,Great Britain,Archery,Mixed Team,22,21,22,65
Great Britain,Great Britain,Archery,Women's Team,22,21,22,65
India,India,Archery,Men's Team,1,2,4,7
India,India,Archery,Mixed Team,1,2,4,7
Indonesia,Indonesia,Archery,Men's Team,1,1,3,5
Indonesia,Indonesia,Archery,Mixed Team,1,1,3,5
Italy,Italy,Archery,Mixed Team,10,10,20,40
Italy,Italy,Archery,Women's Team,10,10,20,40
Japan,Japan,Archery,Men's Team,27,14,17,58
Japan,Japan,Archery,Mixed Team,27,14,17,58
Japan,Japan,Archery,Women's Team,27,14,17,58
Kazakhstan,Kazakhstan,Archery,Men's Team,0,0,8,8
Malaysia,Malaysia,Archery,Mixed Team,0,1,1,2
Mexico,Mexico,Archery,Mixed Team,0,0,4,4
Mexico,Mexico,Archery,Women's Team,0,0,4,4
Mongolia,Mongolia,Archery,Mixed Team,0,1,3,4
Netherlands,Netherlands,Archery,Men's Team,10,12,14,36
Netherlands,Netherlands,Archery,Mixed Team,10,12,14,36
Poland,Poland,Archery,Mixed Team,4,5,5,14
Republic of Moldova,Rep. of Moldova,Archery,Mixed Team,0,0,1,1
Republic of Korea,Republic of Korea,Archery,Men's Team,6,4,10,20
Republic of Korea,Republic of Korea,Archery,Mixed Team,6,4,10,20
Republic of Korea,Republic of Korea,Archery,Women's Team,6,4,10,20
ROC,ROC,Archery,Mixed Team,20,28,23,71
ROC,ROC,Archery,Women's Team,20,28,23,71
Spain,Spain,Archery,Mixed Team,3,8,6,17
Tunisia,Tunisia,Archery,Mixed Team,1,1,0,2
Turkey,Turkey,Archery,Mixed Team,2,2,9,13
Ukraine,Ukraine,Archery,Mixed Team,1,6,12,19
Ukraine,Ukraine,Archery,Women's Team,1,6,12,19
United States of America,United States,Archery,Men's Team,39,41,33,113
United States of America,United States,Archery,Mixed Team,39,41,33,113
United States of America,United States,Archery,Women's Team,39,41,33,113
Belgium,Belgium,Artistic Gymnastics,Women's Team,3,1,3,7
Brazil,Brazil,Artistic Gymnastics,Men's Team,7,6,8,21
Canada,Canada,Artistic Gymnastics,Women's Team,7,6,11,24
People's Republic of China,China,Artistic Gymnastics,Men's Team,38,32,18,88
People's Republic of China,China,Artistic Gymnastics,Women's Team,38,32,18,88
Chinese Taipei,Chinese Taipei,Artistic Gymnastics,Men's Team,2,4,6,12
France,France,Artistic Gymnastics,Women's Team,10,12,11,33
Germany,Germany,Artistic Gymnastics,Men's Team,10,11,16,37
Germany,Germany,Artistic Gymnastics,Women's Team,10,11,16,37
Great Britain,Great Britain,Artistic Gymnastics,Men's Team,22,21,22,65
Great Britain,Great Britain,Artistic Gymnastics,Women's Team,22,21,22,65
Italy,Italy,Artistic Gymnastics,Women's Team,10,10,20,40
Japan,Japan,Artistic Gymnastics,Men's Team,27,14,17,58
Japan,Japan,Artistic Gymnastics,Women's Team,27,14,17,58
